STORE_ID,LATITUDE,LONGITUDE,DAYS_OPEN,ITEM_AVAILABILITY,ZONE,BOOKMARKS
10961,34.05443955,-118.3834987,7.0,114.0,LOS ANGELES,
6891,34.2766404,-119.2140069,7.0,1789.0,LOS ANGELES,
13330,34.68909185,-118.1647598,7.0,96.0,LOS ANGELES,
12762,36.05238604,-90.5060461,7.0,65.0,JONESBORO,
6869,33.6611638,-117.3016885,7.0,117.0,LOS ANGELES,
13167,41.65876591,-70.20280049,7.0,21.0,BOSTON (MANCHESTER),
13105,42.87888581,-77.26825341,7.0,39.0,"ROCHESTER, NY",
12504,33.730939,-117.95415,7.0,109.0,LOS ANGELES,
3528,34.0198923,-118.1579305,7.0,129.0,LOS ANGELES,
6668,34.5219718,-117.2148343,7.0,125.0,LOS ANGELES,
6938,34.2492915,-116.8838359,7.0,13.0,LOS ANGELES,
770,32.7426925,-80.0383415,7.0,53.0,"CHARLESTON, SC",
3447,32.9670028,-80.2009987,7.0,130.0,"CHARLESTON, SC",
13145,31.3461515,-89.26406716,7.0,287.0,HATTIESBURG-LAUREL,
14408,32.31126676,-106.8158004,7.0,25.0,EL PASO (LAS CRUCES),
13340,27.41867711,-80.3822039,7.0,24.0,WEST PALM BEACH-FT. PIERCE,
13169,42.82304698,-71.62451652,7.0,23.0,BOSTON (MANCHESTER),
6158,33.7510161,-116.9619471,7.0,54.0,LOS ANGELES,
272,42.2760893,-71.8005772,6.0,5684.0,BOSTON (MANCHESTER),
915,42.3969161,-71.1042804,7.0,131.0,BOSTON (MANCHESTER),
375,33.775613,-117.8654174,7.0,3120.0,LOS ANGELES,
11563,33.953067,-117.396035,7.0,139.0,LOS ANGELES,
12718,36.517392,-119.556572,7.0,195.0,FRESNO-VISALIA,
10121,36.59527504,-82.21011228,7.0,58.0,"TRI-CITIES, TN-VA",
6763,33.6405904,-117.8765064,7.0,115.0,LOS ANGELES,
7156,33.813901,-118.2987956,7.0,113.0,LOS ANGELES,
12220,33.90234113,-118.343067,7.0,303.0,LOS ANGELES,
2473,37.5213068,-120.8480102,7.0,67.0,SACRAMNTO-STKTON-MODESTO,
677,42.5951838,-71.35117,7.0,49.0,BOSTON (MANCHESTER),
1031,41.6677857,-70.0811097,7.0,2.0,BOSTON (MANCHESTER),
12185,33.6863844,-117.9546828,7.0,159.0,LOS ANGELES,
3998,29.6533888,-82.4966794,7.0,88.0,GAINESVILLE,
6616,33.5808214,-112.2716532,7.0,120.0,PHOENIX (PRESCOTT),
6656,33.4138646,-111.5494851,7.0,,PHOENIX (PRESCOTT),
578,42.6123992,-70.661784,7.0,74.0,BOSTON (MANCHESTER),
6920,34.1880349,-118.4164015,7.0,150.0,LOS ANGELES,
2901,38.898614,-82.5713074,7.0,32.0,CHARLESTON-HUNTINGTON,
12734,33.9233292,-118.1514408,7.0,108.0,LOS ANGELES,
6159,34.1208264,-117.3729026,7.0,1425.0,LOS ANGELES,
918,42.3888772,-71.1189443,7.0,78.0,BOSTON (MANCHESTER),
12037,27.00729225,-82.13290098,7.0,30.0,FT. MYERS-NAPLES,
1607,33.6244888,-112.3586444,7.0,53.0,PHOENIX (PRESCOTT),
12503,33.75966469,-118.0065689,7.0,163.0,LOS ANGELES,
6909,34.013075,-117.7432621,7.0,171.0,LOS ANGELES,
15090,32.937433,-80.040806,7.0,58.0,"CHARLESTON, SC",
6426,33.7587684,-117.8239076,7.0,136.0,LOS ANGELES,
5400,37.2938554,-120.4522287,7.0,49.0,FRESNO-VISALIA,
435,42.356527,-71.0592474,7.0,32.0,BOSTON (MANCHESTER),
8383,38.02186032,-121.3234417,7.0,59.0,SACRAMNTO-STKTON-MODESTO,
12196,34.10730294,-117.3959041,7.0,1425.0,LOS ANGELES,
6944,34.0105225,-117.8863593,7.0,68.0,LOS ANGELES,
6760,36.7786641,-119.827195,7.0,61.0,FRESNO-VISALIA,
2534,37.7315495,-120.9576049,7.0,41.0,SACRAMNTO-STKTON-MODESTO,
6370,34.0343687,-117.3126607,7.0,161.0,LOS ANGELES,
4165,30.3021704,-93.2012312,7.0,41.0,LAKE CHARLES,
5382,29.6357778,-82.338986,7.0,165.0,GAINESVILLE,
8410,37.654863,-120.9565581,7.0,128.0,SACRAMNTO-STKTON-MODESTO,
11225,42.30383006,-71.07138045,7.0,125.0,BOSTON (MANCHESTER),
7688,34.0833754,-118.3536158,7.0,1242.0,LOS ANGELES,
5811,26.5900186,-80.1886399,7.0,161.0,WEST PALM BEACH-FT. PIERCE,
8509,33.63866252,-112.1686123,7.0,3856.0,PHOENIX (PRESCOTT),
203,34.1034035,-118.2584182,7.0,146.0,LOS ANGELES,
648,42.7806992,-71.0769105,7.0,70.0,BOSTON (MANCHESTER),
6593,37.9741218,-120.3429201,7.0,47.0,SACRAMNTO-STKTON-MODESTO,
185,43.2101834,-77.6039998,6.0,40.0,"ROCHESTER, NY",
8543,42.98371325,-70.94029788,7.0,43.0,BOSTON (MANCHESTER),
13946,33.63689158,-117.9224277,7.0,223.0,LOS ANGELES,
15761,46.86859131,-68.00512395,7.0,9.0,PRESQUE ISLE,
6542,38.9047332,-121.0740867,7.0,39.0,SACRAMNTO-STKTON-MODESTO,
12102,41.615403,-93.834187,7.0,273.0,DES MOINES-AMES,
5785,33.4506209,-111.805521,7.0,75.0,PHOENIX (PRESCOTT),
6428,33.9887891,-118.2896955,7.0,220.0,LOS ANGELES,
77,33.8946747,-118.2217077,4.5,128.0,LOS ANGELES,
4445,26.1302114,-81.7699716,7.0,33.0,FT. MYERS-NAPLES,
7054,37.678455,-120.958098,7.0,128.0,SACRAMNTO-STKTON-MODESTO,
6932,33.9950017,-117.9691067,7.0,113.0,LOS ANGELES,
8336,26.39591001,-80.14686896,7.0,45.0,WEST PALM BEACH-FT. PIERCE,
330,33.6164817,-117.9079652,7.0,1721.0,LOS ANGELES,
10716,33.71472014,-117.1927007,7.0,33.0,LOS ANGELES,
15176,26.66341373,-80.26845744,7.0,243.0,WEST PALM BEACH-FT. PIERCE,
12465,33.69083755,-117.339837,7.0,117.0,LOS ANGELES,
4128,41.8781934,-70.9245399,7.0,93.0,BOSTON (MANCHESTER),
9505,33.65415177,-112.1333446,7.0,76.0,PHOENIX (PRESCOTT),
7472,42.3513703,-71.0461553,7.0,43.0,BOSTON (MANCHESTER),
12598,34.05621239,-117.938439,7.0,142.0,LOS ANGELES,
1532,41.4319233,-75.6588568,7.0,23.0,WILKES BARRE-SCRANTON,
6536,34.2252745,-118.9885051,7.0,57.0,LOS ANGELES,
3852,33.4085006,-111.6320087,7.0,55.0,PHOENIX (PRESCOTT),
6864,34.0331336,-117.073662,7.0,107.0,LOS ANGELES,
6714,33.8230494,-118.3406245,7.0,72.0,LOS ANGELES,
1132,42.2755097,-71.1390029,7.0,1534.0,BOSTON (MANCHESTER),
4467,33.2923435,-111.8253252,7.0,175.0,PHOENIX (PRESCOTT),
4813,38.5433673,-82.6749248,7.0,42.0,CHARLESTON-HUNTINGTON,
1530,41.2403913,-75.8926525,7.0,5.0,WILKES BARRE-SCRANTON,
1695,41.6596928,-70.3270019,7.0,42.0,BOSTON (MANCHESTER),
1128,42.5038247,-70.9239361,7.0,150.0,BOSTON (MANCHESTER),
7196,42.5078798,-71.1596122,7.0,132.0,BOSTON (MANCHESTER),
5370,32.8591619,-79.7962713,7.0,92.0,"CHARLESTON, SC",
9442,33.39214,-111.996068,7.0,49.0,PHOENIX (PRESCOTT),
2142,34.251382,-110.0419419,7.0,22.0,PHOENIX (PRESCOTT),
6594,33.5831333,-111.9242098,7.0,114.0,PHOENIX (PRESCOTT),
11736,33.817279,-118.308398,7.0,113.0,LOS ANGELES,
6633,33.5824449,-112.1359889,7.0,77.0,PHOENIX (PRESCOTT),
1720,42.4774659,-70.9576373,7.0,67.0,BOSTON (MANCHESTER),
2900,26.4156644,-81.9003111,7.0,36.0,FT. MYERS-NAPLES,
