STORE_ID,LATITUDE,LONGITUDE,DAYS_OPEN,ITEM_AVAILABILITY,ZONE,BOOKMARKS
2591,40.2662642,-74.49002,7.0,78.0,PHILADELPHIA,
13287,38.77164851,-77.08066167,7.0,140.0,"WASHINGTON, DC (HAGRSTWN)",
4497,35.6682076,-78.7986894,7.0,44.0,RALEIGH-DURHAM (FAYETVLLE),
1798,39.8397704,-75.442211,7.0,59.0,PHILADELPHIA,
12120,34.09639485,-84.17652594,7.0,143.0,ATLANTA,
12525,39.69896722,-105.1423247,7.0,65.0,DENVER,
7193,25.9867655,-80.12672,7.0,178.0,MIAMI-FT. LAUDERDALE,
11901,36.731169,-97.068002,7.0,28.0,OKLAHOMA CITY,
8745,34.79988289,-92.25569493,7.0,948.0,LITTLE ROCK-PINE BLUFF,
12307,31.32263844,-85.8303497,7.0,87.0,DOTHAN,
4157,35.3055979,-80.8578871,7.0,204.0,CHARLOTTE,
5456,32.5490126,-94.3491654,7.0,30.0,SHREVEPORT,
11922,29.87878791,-95.62812823,7.0,297.0,HOUSTON,
10424,43.515447,-96.770478,7.0,94.0,SIOUX FALLS(MITCHELL),
15152,40.47320469,-88.95398683,7.0,55.0,PEORIA-BLOOMINGTON,
7202,39.2204887,-76.8747111,7.0,187.0,BALTIMORE,
10560,32.94067283,-97.17761265,7.0,87.0,DALLAS-FT. WORTH,
6618,32.6386451,-117.0502617,7.0,4448.0,SAN DIEGO,
3809,33.5904207,-86.4953115,7.0,20.0,BIRMINGHAM (ANN AND TUSC),
10961,34.05443955,-118.3834987,7.0,114.0,LOS ANGELES,
15413,41.99734498,-87.83399183,7.0,69.0,CHICAGO,
3136,32.8673906,-117.2058062,7.0,94.0,SAN DIEGO,
14653,31.48464157,-100.4615117,7.0,69.0,SAN ANGELO,
2879,28.3316142,-82.6669222,7.0,63.0,TAMPA-ST. PETE (SARASOTA),
6298,41.9247197,-87.725958,7.0,487.0,CHICAGO,
4812,37.7579332,-84.8456341,7.0,17.0,LEXINGTON,
3446,40.9676185,-81.6984995,7.0,121.0,CLEVELAND-AKRON (CANTON),
14333,28.42469903,-81.46285103,7.0,187.0,ORLANDO-DAYTONA BCH-MELBRN,
7482,34.6684572,-92.345201,7.0,39.0,LITTLE ROCK-PINE BLUFF,
15163,43.09075027,-87.88764297,7.0,78.0,MILWAUKEE,
8222,42.114399,-72.498199,7.0,18.0,SPRINGFIELD-HOLYOKE,
6041,42.5919954,-83.1101902,7.0,59.0,DETROIT,
6891,34.2766404,-119.2140069,7.0,1789.0,LOS ANGELES,
6090,41.5136067,-71.6979561,7.0,11.0,PROVIDENCE-NEW BEDFORD,
13330,34.68909185,-118.1647598,7.0,96.0,LOS ANGELES,
13294,33.27481783,-84.29006791,7.0,99.0,ATLANTA,
14262,42.72613443,-92.47510528,7.0,26.0,CEDAR RAPIDS-WTRLO-IWC&DUB,
1656,28.5516285,-81.5866749,7.0,261.0,ORLANDO-DAYTONA BCH-MELBRN,
5784,29.435899,-98.6845568,7.0,233.0,SAN ANTONIO,
14370,41.12563602,-100.7634014,7.0,40.0,NORTH PLATTE,
4832,38.6790607,-88.4896513,7.0,5.0,ST. LOUIS,
6180,44.1132258,-87.6386255,7.0,53.0,GREEN BAY-APPLETON,
366,44.9339616,-93.42474,7.0,1035.0,MINNEAPOLIS-ST. PAUL,
10951,40.92826231,-87.15652901,7.0,6.0,CHICAGO,
10599,41.23490322,-96.1816139,7.0,36.0,OMAHA,
11600,25.713926,-80.4475,7.0,125.0,MIAMI-FT. LAUDERDALE,
9755,43.2346139,-86.22359725,7.0,57.0,GRAND RAPIDS-KALMZOO-B.CRK,
5005,40.488573,-85.6104388,7.0,8.0,INDIANAPOLIS,
5247,32.7050965,-100.9199157,7.0,33.0,ABILENE-SWEETWATER,
12762,36.05238604,-90.5060461,7.0,65.0,JONESBORO,
10485,41.70545436,-81.36059454,7.0,141.0,CLEVELAND-AKRON (CANTON),
9472,41.68898734,-88.12531079,7.0,75.0,CHICAGO,
12275,35.10263691,-106.5503351,7.0,71.0,ALBUQUERQUE-SANTA FE,
8331,40.61303293,-73.91672268,7.0,445.0,NEW YORK,
6084,30.3931128,-91.1595176,7.0,7379.0,BATON ROUGE,
5461,34.1768867,-79.8107197,7.0,114.0,MYRTLE BEACH-FLORENCE,
7414,31.0841147,-97.4566871,7.0,60.0,WACO-TEMPLE-BRYAN,
7232,42.8016271,-86.1135904,7.0,81.0,GRAND RAPIDS-KALMZOO-B.CRK,
13186,41.349271,-72.104401,7.0,58.0,HARTFORD & NEW HAVEN,
6869,33.6611638,-117.3016885,7.0,117.0,LOS ANGELES,
10080,25.86639082,-80.282534,7.0,200.0,MIAMI-FT. LAUDERDALE,
10304,42.05092632,-87.98132697,7.0,71.0,CHICAGO,
5913,42.4466402,-83.6510519,7.0,1076.0,DETROIT,
12676,35.25111106,-91.73588212,7.0,37.0,LITTLE ROCK-PINE BLUFF,
13167,41.65876591,-70.20280049,7.0,21.0,BOSTON (MANCHESTER),
13105,42.87888581,-77.26825341,7.0,39.0,"ROCHESTER, NY",
5205,32.6595627,-97.2704278,7.0,79.0,DALLAS-FT. WORTH,
5216,39.601343,-88.6098838,7.0,13.0,CHAMPAIGN&SPRNGFLD-DECATUR,
5828,26.0627825,-80.3144339,7.0,56.0,MIAMI-FT. LAUDERDALE,
2985,35.1062179,-85.2711154,7.0,62.0,CHATTANOOGA,
2916,28.1125961,-81.945085,7.0,86.0,TAMPA-ST. PETE (SARASOTA),
4677,39.56246,-84.3020132,7.0,68.0,CINCINNATI,
12504,33.730939,-117.95415,7.0,109.0,LOS ANGELES,
11693,38.7049,-93.250261,7.0,50.0,KANSAS CITY,
5649,38.289202,-77.5328686,7.0,152.0,"WASHINGTON, DC (HAGRSTWN)",
1943,40.069241,-75.0060221,7.0,119.0,PHILADELPHIA,
3528,34.0198923,-118.1579305,7.0,129.0,LOS ANGELES,
12377,42.745471,-87.797682,7.0,67.0,MILWAUKEE,
2775,35.3775066,-80.5515666,7.0,108.0,CHARLOTTE,
9174,40.809499,-81.377099,7.0,16.0,CLEVELAND-AKRON (CANTON),
11259,30.36193734,-97.69701764,7.0,169.0,AUSTIN,
6668,34.5219718,-117.2148343,7.0,125.0,LOS ANGELES,
4676,40.1092805,-84.622035,7.0,33.0,DAYTON,
9141,41.90766,-87.902515,7.0,70.0,CHICAGO,
11120,32.83607642,-96.76849725,7.0,256.0,DALLAS-FT. WORTH,
6938,34.2492915,-116.8838359,7.0,13.0,LOS ANGELES,
10643,38.70002302,-90.3616883,7.0,107.0,ST. LOUIS,
5870,42.3987635,-83.3359374,7.0,108.0,DETROIT,
6612,32.3069223,-110.8917541,7.0,46.0,TUCSON (SIERRA VISTA),
13374,46.592214,-90.883581,7.0,26.0,DULUTH-SUPERIOR,
7564,39.2069827,-76.9439783,7.0,23.0,BALTIMORE,
3575,42.7865466,-73.9713613,7.0,59.0,ALBANY-SCHENECTADY-TROY,
6125,42.430107,-83.2004829,7.0,189.0,DETROIT,
561,38.973757,-76.2699067,7.0,22.0,BALTIMORE,
